Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-16,30,NYK,NBA,SG,71,2371,10.9,.531,.298,.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,.055,,-1.3,-1.6,-2.9,-0.5
2016-17,31,SAC,NBA,SG,61,1580,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,,1.2,0.2,1.4,.043,,-2.1,-1.5,-3.6,-0.7
2017-18,32,ORL,NBA,SG,53,682,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,.009,,-3.8,-1.5,-5.4,-0.6
2022-23,22,UTA,NBA,SG,9,72,9.1,.519,.333,.333,6.2,9.0,7.6,1.9,0.7,0.0,0.0,14.0,,0.1,0.0,0.1,.066,,-3.6,-2.6,-6.1,-0.1
2006-07,22,DAL,NBA,SG,32,214,2.9,.408,.214,.471,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,,-0.5,0.2,-0.3,-0.060,,-7.4,-1.3,-8.7,-0.4
2007-08,23,TOT,NBA,SG,26,165,1.8,.363,.292,.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,,-0.4,0.0,-0.4,-0.114,,-6.8,-4.2,-11.1,-0.4
2007-08,23,DAL,NBA,SG,12,77,-4.4,.253,.296,.222,1.6,4.4,3.0,7.4,0.0,1.0,9.2,19.8,,-0.3,0.0,-0.3,-0.181,,-10.1,-3.6,-13.7,-0.2
2007-08,23,NJN,NBA,SG,14,88,7.1,.443,.289,.158,3.9,7.9,5.9,8.4,0.0,0.0,6.9,22.7,,-0.1,0.0,-0.1,-0.056,,-4.0,-4.8,-8.7,-0.1
2008-09,24,NJN,NBA,SG,20,97,2.2,.365,.140,.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,,-0.3,0.0,-0.3,-0.133,,-7.9,-2.8,-10.7,-0.2
2010-11,26,MIN,NBA,SG,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-0.9,0.2,-0.7,0.0
2007-08,23,MIA,NBA,PG,12,177,9.0,.495,.596,.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,,-0.1,0.1,0.0,-0.006,,-3.5,-1.3,-4.8,-0.1
2008-09,24,SAS,NBA,PG,3,19,12.9,.581,.667,.333,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,,0.0,0.0,0.1,.149,,-2.2,1.4,-0.9,0.0
2011-12,27,UTA,NBA,PG,4,30,-7.3,.357,.643,.000,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,,-0.2,0.0,-0.2,-0.315,,-12.7,-6.8,-19.5,-0.1
2008-09,20,CHA,NBA,PF,31,182,7.0,.430,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,,-0.3,0.3,-0.1,-0.018,,-7.6,0.1,-7.5,-0.3
2009-10,21,CHA,NBA,C,6,30,6.3,.479,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013,,-6.3,1.0,-5.3,0.0
2010-11,22,TOT,NBA,C,34,340,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,,0.0,0.4,0.4,.052,,-3.8,0.0,-3.8,-0.2
2010-11,22,DAL,NBA,C,10,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,,0.0,0.1,0.1,.084,,-3.4,0.5,-2.9,0.0
2010-11,22,TOR,NBA,C,24,265,12.0,.530,.267,.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,,0.0,0.2,0.2,.042,,-3.8,-0.2,-4.1,-0.1
2013-14,25,NOP,NBA,C,56,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,,1.2,0.9,2.1,.104,,-2.7,0.1,-2.6,-0.1
2014-15,26,NOP,NBA,C,68,957,19.9,.595,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,.159,,-0.7,0.4,-0.3,0.4
2015-16,27,NOP,NBA,C,59,861,13.8,.514,.003,.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,,0.2,0.9,1.0,.058,,-3.4,-0.6,-4.0,-0.4
2016-17,28,NOP,NBA,C,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,,0.0,0.9,1.0,.080,,-4.0,0.7,-3.3,-0.2
2012-13,26,DAL,NBA,PG,3,9,15.3,.625,.500,.000,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,,0.0,0.0,0.0,.196,,-3.1,0.1,-3.0,0.0
2018-19,25,DEN,NBA,SG,7,22,8.2,.322,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,,-0.1,0.0,0.0,-0.051,,-7.9,2.1,-5.8,0.0
