,Name,Exp,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
196,Trevor Ariza,19,2018-19,33.0,TOT,NBA,SF,69.0,69.0,34.0,4.3,10.7,0.399,2.1,6.3,0.334,2.2,4.4,0.493,0.498,1.9,2.4,0.793,0.7,4.7,5.4,3.7,1.3,0.3,1.5,1.9,12.5
197,Trevor Ariza,20,2018-19,33.0,PHO,NBA,SF,26.0,26.0,34.0,3.3,8.7,0.379,1.9,5.3,0.36,1.4,3.4,0.409,0.489,1.4,1.7,0.837,0.6,5.0,5.6,3.3,1.5,0.3,1.5,1.7,9.9
198,Trevor Ariza,21,2018-19,33.0,WAS,NBA,SF,43.0,43.0,34.1,4.8,11.8,0.409,2.2,6.9,0.322,2.6,5.0,0.528,0.502,2.2,2.8,0.777,0.8,4.5,5.3,3.8,1.2,0.3,1.6,2.0,14.1
199,Trevor Ariza,22,2019-20,34.0,TOT,NBA,SF,53.0,21.0,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
200,Trevor Ariza,23,2019-20,34.0,SAC,NBA,SF,32.0,0.0,24.7,2.0,5.2,0.388,1.3,3.8,0.352,0.7,1.3,0.488,0.518,0.7,0.8,0.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
201,Trevor Ariza,24,2019-20,34.0,POR,NBA,SF,21.0,21.0,33.4,3.7,7.6,0.491,1.6,4.0,0.4,2.1,3.5,0.595,0.597,2.0,2.2,0.872,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3,11.0
202,Trevor Ariza,25,2020-21,35.0,MIA,NBA,SF,30.0,27.0,28.0,3.3,8.0,0.411,1.7,4.8,0.35,1.6,3.3,0.5,0.515,1.1,1.5,0.773,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4
203,Trevor Ariza,26,2021-22,36.0,LAL,NBA,SF,24.0,11.0,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.5,1.0,0.52,0.434,0.4,0.8,0.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0
204,D.J. Augustin,1,2008-09,21.0,CHA,NBA,PG,72.0,12.0,26.5,3.7,8.6,0.43,1.5,3.4,0.439,2.2,5.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,3.5,0.6,0.0,1.7,1.9,11.8
205,D.J. Augustin,2,2009-10,22.0,CHA,NBA,PG,80.0,2.0,18.4,2.1,5.4,0.386,0.9,2.2,0.393,1.2,3.2,0.381,0.467,1.3,1.6,0.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4
206,D.J. Augustin,3,2010-11,23.0,CHA,NBA,PG,82.0,82.0,33.6,4.9,11.7,0.416,1.4,4.1,0.333,3.5,7.6,0.461,0.474,3.3,3.6,0.906,0.5,2.3,2.7,6.1,0.7,0.0,1.9,1.9,14.4
207,D.J. Augustin,4,2011-12,24.0,CHA,NBA,PG,48.0,46.0,29.3,3.8,10.1,0.376,1.3,3.7,0.341,2.5,6.4,0.396,0.438,2.2,2.5,0.875,0.5,1.8,2.3,6.4,0.8,0.0,2.3,1.4,11.1
208,D.J. Augustin,5,2012-13,25.0,IND,NBA,PG,76.0,5.0,16.1,1.4,3.9,0.35,0.9,2.5,0.353,0.5,1.4,0.346,0.464,1.1,1.3,0.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7
209,D.J. Augustin,6,2013-14,26.0,TOT,NBA,PG,71.0,9.0,27.3,4.2,10.1,0.415,1.9,4.7,0.401,2.3,5.4,0.427,0.508,2.8,3.2,0.885,0.2,1.6,1.8,4.4,0.7,0.0,1.8,2.1,13.1
210,D.J. Augustin,7,2013-14,26.0,TOR,NBA,PG,10.0,0.0,8.2,0.7,2.4,0.292,0.1,1.1,0.091,0.6,1.3,0.462,0.313,0.6,0.6,1.0,0.0,0.4,0.4,1.0,0.1,0.0,0.9,0.7,2.1
211,D.J. Augustin,8,2013-14,26.0,CHI,NBA,PG,61.0,9.0,30.4,4.8,11.4,0.419,2.2,5.3,0.411,2.6,6.1,0.426,0.514,3.2,3.6,0.882,0.2,1.8,2.1,5.0,0.9,0.0,1.9,2.3,14.9
212,D.J. Augustin,9,2014-15,27.0,TOT,NBA,PG,82.0,14.0,24.0,3.1,7.9,0.399,1.0,3.0,0.337,2.1,4.9,0.436,0.463,2.2,2.5,0.868,0.2,1.7,2.0,4.3,0.6,0.0,1.8,1.1,9.5
213,D.J. Augustin,10,2014-15,27.0,DET,NBA,PG,54.0,13.0,23.8,3.5,8.5,0.41,0.9,2.8,0.327,2.6,5.8,0.45,0.463,2.7,3.1,0.87,0.2,1.6,1.9,4.9,0.6,0.0,2.0,1.1,10.6
214,D.J. Augustin,11,2014-15,27.0,OKC,NBA,PG,28.0,1.0,24.2,2.5,6.6,0.371,1.2,3.4,0.354,1.3,3.2,0.389,0.462,1.1,1.3,0.861,0.3,1.9,2.2,3.1,0.6,0.0,1.3,1.1,7.3
215,D.J. Augustin,12,2015-16,28.0,TOT,NBA,PG,62.0,0.0,19.0,2.4,5.6,0.423,1.1,2.7,0.405,1.3,2.9,0.44,0.52,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5
216,D.J. Augustin,13,2015-16,28.0,OKC,NBA,PG,34.0,0.0,15.3,1.4,3.6,0.38,0.7,1.8,0.393,0.6,1.8,0.367,0.479,0.8,1.0,0.765,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.2,4.2
217,D.J. Augustin,14,2015-16,28.0,DEN,NBA,PG,28.0,0.0,23.5,3.6,8.2,0.445,1.6,3.8,0.411,2.1,4.4,0.475,0.541,2.8,3.4,0.819,0.1,1.8,1.9,4.7,0.9,0.1,1.9,1.6,11.6
218,D.J. Augustin,15,2016-17,29.0,ORL,NBA,PG,78.0,20.0,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.3,3.1,0.412,0.469,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9
